t(s),E(s),F(s),theta,E(theta),F(theta)
85.2,0.0008945384,0.003718267,0.3915993,0.1943598,0.003718267
85.8,0.0009137693,0.00426076,0.3943571,0.1985651,0.00426076
86.4,0.0009887851,0.004831526,0.3971148,0.2149642,0.004831526
87,0.001024185,0.005435417,0.3998725,0.2226751,0.005435417
87.6,0.001037243,0.006053846,0.4026303,0.2255264,0.006053846
88.2,0.001040859,0.006677276,0.405388,0.226339,0.006677276
88.8,0.001127499,0.007327784,0.4081458,0.2450602,0.007327784
89.4,0.001220826,0.008032281,0.4109035,0.2653903,0.008032281
90,0.001332393,0.008798245,0.4136612,0.2895334,0.008798245
90.6,0.001379533,0.009611826,0.416419,0.2997788,0.009611826
91.2,0.001384072,0.0104409,0.4191767,0.3008855,0.0104409
91.8,0.001448077,0.01129055,0.4219345,0.3149468,0.01129055
92.4,0.001472693,0.01216679,0.4246922,0.3202124,0.01216679
93,0.001426528,0.01303655,0.42745,0.3101565,0.01303655
93.6,0.001482944,0.01390939,0.4302077,0.3224226,0.01390939
94.2,0.001525974,0.01481206,0.4329655,0.3317468,0.01481206
94.8,0.001517551,0.01572512,0.4357232,0.3299597,0.01572512
95.4,0.001484977,0.01662588,0.4384809,0.3228122,0.01662588
96,0.001580066,0.0175454,0.4412386,0.3434236,0.0175454
96.6,0.001616312,0.0185043,0.4439964,0.3514174,0.0185043
97.2,0.001692852,0.01949705,0.4467541,0.3679964,0.01949705
97.8,0.001790883,0.02054218,0.4495119,0.3894749,0.02054218
98.4,0.002026919,0.02168752,0.4522696,0.4410303,0.02168752
99,0.002126791,0.02293363,0.4550274,0.4628137,0.02293363
99.6,0.002384036,0.02428688,0.4577851,0.5189568,0.02428688
100.2,0.002488377,0.0257486,0.4605429,0.5414824,0.0257486
100.8,0.002568223,0.02726558,0.4633006,0.5589585,0.02726558
101.4,0.002650316,0.02883114,0.4660584,0.5767769,0.02883114
102,0.002726449,0.03044417,0.4688161,0.5931811,0.03044417
102.6,0.002896298,0.03213099,0.4715738,0.62996,0.03213099
103.2,0.002882616,0.03386467,0.4743316,0.6269178,0.03386467
103.8,0.002962789,0.03561829,0.4770893,0.6443505,0.03561829
104.4,0.003092017,0.03743473,0.479847,0.6721167,0.03743473
105,0.003083233,0.03928731,0.4826048,0.6702907,0.03928731
105.6,0.003281086,0.04119661,0.4853625,0.7133062,0.04119661
106.2,0.003350435,0.04318606,0.4881203,0.7283144,0.04318606
106.8,0.003346909,0.04519526,0.490878,0.7274961,0.04519526
107.4,0.003324649,0.04719673,0.4936357,0.7229605,0.04719673
108,0.00324543,0.04916775,0.4963935,0.7054932,0.04916775
108.6,0.003304259,0.05113266,0.4991512,0.7183276,0.05113266
109.2,0.003362323,0.05313263,0.501909,0.7308756,0.05313263
109.8,0.003616512,0.05522628,0.5046667,0.786108,0.05522628
110.4,0.003706436,0.05742317,0.5074245,0.8054126,0.05742317
111,0.003673713,0.05963721,0.5101822,0.7986714,0.05963721
111.6,0.004105166,0.06197088,0.51294,0.8926347,0.06197088
112.2,0.004147591,0.06444671,0.5156977,0.9019143,0.06444671
112.8,0.004244918,0.06696446,0.5184555,0.9237203,0.06696446
113.4,0.00452583,0.06959568,0.5212131,0.9847602,0.06959568
114,0.004420508,0.07227958,0.5239709,0.9618302,0.07227958
114.6,0.004382947,0.07492062,0.5267286,0.9532557,0.07492062
115.2,0.00443663,0.07756649,0.5294864,0.9646617,0.07756649
115.8,0.00443701,0.08022858,0.5322441,0.96478,0.08022858
116.4,0.004501467,0.08291013,0.5350019,0.9788896,0.08291013
117,0.004523039,0.08561748,0.5377596,0.9839027,0.08561748
117.6,0.004735633,0.08839508,0.5405174,1.029913,0.08839508
118.2,0.00461461,0.09120015,0.5432751,1.003518,0.09120015
118.8,0.004683241,0.09398949,0.5460329,1.018073,0.09398949
119.4,0.004744465,0.09681781,0.5487906,1.031524,0.09681781
120,0.004827731,0.09968948,0.5515483,1.0493,0.09968948
120.6,0.004967503,0.1026281,0.5543061,1.079711,0.1026281
121.2,0.004734112,0.1055385,0.5570638,1.029163,0.1055385
121.8,0.004845578,0.1084124,0.5598216,1.053254,0.1084124
122.4,0.004554657,0.1112325,0.5625793,0.9897002,0.1112325
123,0.004762934,0.1140278,0.565337,1.035326,0.1140278
123.6,0.005003615,0.1169578,0.5680948,1.087558,0.1169578
124.2,0.005162631,0.1200077,0.5708525,1.122562,0.1200077
124.8,0.005097179,0.1230856,0.5736103,1.108601,0.1230856
125.4,0.005171644,0.1261662,0.576368,1.124683,0.1261662
126,0.005041232,0.1292301,0.5791257,1.095831,0.1292301
126.6,0.004793746,0.1321806,0.5818835,1.042321,0.1321806
127.2,0.004643885,0.1350119,0.5846412,1.0101,0.1350119
127.8,0.004781001,0.1378393,0.587399,1.039725,0.1378393
128.4,0.004775879,0.1407064,0.5901567,1.039093,0.1407064
129,0.004894022,0.1436074,0.5929145,1.064665,0.1436074
129.6,0.005039871,0.1465876,0.5956722,1.096243,0.1465876
130.2,0.005140234,0.1496416,0.59843,1.11815,0.1496416
130.8,0.004987128,0.1526798,0.6011877,1.084754,0.1526798
131.4,0.005210493,0.1557391,0.6039454,1.133591,0.1557391
132,0.005098049,0.1588316,0.6067031,1.109142,0.1588316
132.6,0.005450257,0.1619961,0.6094609,1.18541,0.1619961
133.2,0.00555102,0.1652965,0.6122186,1.207564,0.1652965
133.8,0.005858715,0.1687195,0.6149764,1.274453,0.1687195
134.4,0.005751197,0.1722024,0.6177341,1.251155,0.1722024
135,0.005694843,0.1756362,0.6204919,1.239251,0.1756362
135.6,0.00558973,0.1790216,0.6232496,1.216506,0.1790216
136.2,0.0055312,0.1823579,0.6260074,1.20342,0.1823579
136.8,0.005398289,0.1856367,0.6287651,1.174497,0.1856367
137.4,0.005587708,0.1889325,0.6315228,1.215785,0.1889325
138,0.005587119,0.192285,0.6342806,1.215626,0.192285
138.6,0.005788692,0.1956977,0.6370383,1.259251,0.1956977
139.2,0.005709616,0.1991472,0.6397961,1.242164,0.1991472
139.8,0.005913302,0.2026341,0.6425538,1.286046,0.2026341
140.4,0.005706381,0.20612,0.6453116,1.241439,0.20612
141,0.005507786,0.2094842,0.6480693,1.198111,0.2094842
141.6,0.005293994,0.2127248,0.650827,1.151592,0.2127248
142.2,0.005199303,0.2158727,0.6535848,1.131074,0.2158727
142.8,0.00534709,0.2190367,0.6563425,1.163323,0.2190367
143.4,0.005419351,0.2222666,0.6591002,1.178777,0.2222666
144,0.005484232,0.2255377,0.661858,1.193369,0.2255377
144.6,0.005532276,0.2288426,0.6646157,1.204176,0.2288426
145.2,0.005714158,0.2322166,0.6673735,1.243784,0.2322166
145.8,0.005586689,0.2356068,0.6701312,1.216021,0.2356068
146.4,0.005413235,0.2389068,0.672889,1.177763,0.2389068
147,0.00532526,0.2421283,0.6756467,1.158808,0.2421283
147.6,0.005304846,0.2453174,0.6784045,1.154047,0.2453174
148.2,0.005461476,0.2485473,0.6811622,1.188047,0.2485473
148.8,0.005789078,0.2519224,0.6839199,1.259394,0.2519224
149.4,0.005743088,0.2553821,0.6866777,1.249388,0.2553821
150,0.005946102,0.2588888,0.6894354,1.293077,0.2588888
150.6,0.005836789,0.2624237,0.6921931,1.269611,0.2624237
151.2,0.005493923,0.2658229,0.6949509,1.195547,0.2658229
151.8,0.005660398,0.2691692,0.6977086,1.231712,0.2691692
152.4,0.005693992,0.2725755,0.7004664,1.23815,0.2725755
153,0.005873136,0.2760457,0.7032241,1.277418,0.2760457
153.6,0.005752352,0.2795333,0.7059819,1.250888,0.2795333
154.2,0.005624879,0.2829465,0.7087396,1.223119,0.2829465
154.8,0.005344509,0.2862373,0.7114973,1.162528,0.2862373
